Sector,Total_Value_Traded_SAR,Total_Trades,Start_Close,End_Close,Price_Change_Pct,Volatility_Std,Avg_Daily_Trades
Banks,240760211448.23004,11245943.0,12325.36,12194.17,-1.064390816982226,439.71759904607336,44983.772
Basic Materials,173537873962.32,18053808.0,5572.87,4943.15,-11.299743220279682,228.14674739958568,71927.5219123506
Capital Goods,61218199791.4,6684643.0,15211.91,14929.93,-1.8536791237918155,829.9187748556997,26632.043824701195
Commercial & Professional Services,19096039155.800003,3043303.0,4955.78,4034.81,-18.58375472680385,442.46581359743294,12124.713147410359
Consumer Discretionary Distribution & Retail,61224806459.83,6643879.0,7533.31,7437.36,-1.2736765113874342,345.7754032599659,26469.637450199203
Consumer Durables & Apparel,20383359409.0,2371310.0,5483.28,4936.44,-9.972862957937588,358.3156858830746,9447.450199203187
Consumer Services,72805731287.17,8027426.0,4845.56,3521.91,-27.3167600855216,367.69156795110143,31981.77689243028
Consumer Staples Distribution & Retail,22646686835.82,3270810.0,8388.95,5704.27,-32.00257481568015,731.0499944709445,13031.115537848606
Energy,82621269112.16,6406803.0,5299.56,4545.15,-14.235332744605225,266.3713901626136,32034.015
Financial Services,30401544282.320004,3620562.0,7744.12,5404.05,-30.217377829888996,610.5324116820195,14424.549800796813
Food & Beverages,47845923427.17999,6182966.0,5965.01,4346.55,-27.132561387156095,514.6674318043941,24633.330677290836
Health Care Equipment & Services,65994740927.979996,6705592.0,11861.91,9868.07,-16.808760140651884,786.6496720433007,26715.505976095617
Household & Personal Products,15425527496.97,2138768.0,5034.53,4346.55,-13.66522793587484,435.85945108029483,8520.988047808765
Insurance,73377931285.48,7751084.0,10655.72,7446.71,-30.11537465323788,949.415816263363,30880.812749003984
Media and Entertainment,24470062607.300003,1826900.0,31994.06,16204.73,-49.35081699540478,4223.3455654789705,7278.4860557768925
"Pharma, Biotech & Life Science",27422939554.54,2974562.0,4972.22,9868.07,98.46406635265534,2686.0912694940685,11850.844621513945
REITs (Real Estate Investment Traded Funds),4917537126.0199995,1874697.0,3166.56,2921.67,-7.733628922237376,73.32530898231111,7468.9123505976095
Real Estate Management & Development,85278702493.43001,7999190.0,3693.76,2877.48,-22.09889110283289,380.85086859254244,31869.282868525897
Software & Services,31984793072.149998,2760942.0,81934.72,58137.42,-29.04421959335432,7932.573604379149,10999.768924302789
Telecommunication Services,72994677545.85999,4545919.0,7957.08,8762.59,10.123185892312259,300.2543946884765,18111.23107569721
Transportation,39433107052.36,4119386.0,7071.02,4936.44,-30.1877239775874,689.5601080389952,16411.89641434263
Utilities,42726010757.740005,3742910.0,13852.06,7283.4,-47.42009491729028,2131.27876943653,14911.99203187251
